Épellation,Contexte,Type
laver,Je dois laver mes mains avant de manger.,1
lent,Cet escargot est très lent.,1
lever,Peux-tu lever la main avant de parler ?,1
loup,Le loup hurle à la lune.,1
luge,Nous faisons de la luge dans la neige.,1
main,Donne-moi ta main pour traverser.,1
maison,Je rentre à la maison après l'école.,1
manger,Nous allons manger un gâteau ce soir.,1
monter,Je vais monter sur la balançoire.,1
mur,Le mur est peint en bleu.,1
musique,J'écoute la musique douce.,1
neige,"En hiver, il y a beaucoup de neige.",1
nez,Mon nez est froid en hiver.,1
pain,J'aime manger du pain frais.,1
pays,Le canada est un beau pays.,1
pied,J'ai sauté dans la boue avec mon pied gauche.,1
pluie,La pluie tombe doucement ce matin.,1
porte,La porte est fermée à clé.,1
poser,Je vais poser mon sac ici.,1
rat,Le rat se cache dans le grenier.,1
rire,J'adore rire avec mes amis.,1
roche,La roche est très lourde.,1
rue,Regarde avant de traverser la rue.,1
sac,Mets ton livre dans le sac.,1
sauter,J'aime sauter à la corde.,1
savon,Utilise du savon pour te laver les mains.,1
stylo,J'écris avec un stylo bleu.,1
table,Mets ton assiette sur la table.,1
télé,Je regarde un dessin animé à la télé.,1
temps,Il fait beau temps aujourd'hui.,1
terre,La terre est recouverte d'herbe.,1
tête,Mets ton chapeau sur ta tête.,1
thé,Je bois du thé avec du miel.,1
train,Le train passe vite à la gare.,1
vache,La vache donne du lait.,1
verte,L'herbe est verte au printemps.,1
zéro,Il a eu zéro faute en dictée.,1
acheter,Je vais acheter des fruits au marché.,2
adieu,Ils se disent adieu avant de partir.,2
aigle,Je vois un aigle qui vole dans le ciel.,2
alarme,Mon alarme a sonné à 6h ce matin.,2
ange,Elle dessine un ange dans la neige.,2
année,"Cette année, je vais apprendre beaucoup.",2
arbre,Papa a planté un arbre dans le jardin.,2
avancer,Je vais avancer vers la porte.,2
ballon,Le ballon rouge flotte dans le ciel.,2
barbe,Le père noël a une longue barbe blanche.,2
beurre,Je mets du beurre sur mon pain.,2
boîte,Cette boîte contient des bonbons.,2
bottes,Je mets des bottes pour marcher dans la neige.,2
bouche,Je ferme ma bouche quand je mange.,2
boucle,Elle a une jolie boucle dans ses cheveux.,2
bouton,Appuie sur ce bouton pour allumer la lumière.,2
branche,L'oiseau est perché sur une branche.,2
bruit,Il y a beaucoup de bruit dans la cour de récréation.,2
cabane,Les enfants ont construit une cabane en bois.,2
cahier,Mon cahier est plein de dessins.,2
canal,Ce canal traverse toute la ville.,2
cause,La cause de ce bruit est inconnue.,2
cerf,Le cerf est un animal avec de longues cornes.,2
cerises,J'adore manger des cerises en été.,2
chanter,J'aime chanter cette chanson.,2
chaton,Le chaton joue avec une pelote de laine.,2
chemin,Suivons ce chemin jusqu'au village.,2
cheveu,Un cheveu est tombé sur mon cahier.,2
cheveux,J'ai les cheveux courts.,2
chiffre,Le chiffre trois est mon préféré.,2
choisir,Il faut choisir un crayon rouge ou bleu.,2
climat,Le climat change rapidement.,2
cœur,Mon cœur bat très fort.,2
copier,Je dois copier cette phrase dans mon cahier.,2
coussin,Ce coussin est doux et moelleux.,2
couteau,Fais attention avec le couteau.,2
crayon,"Mon crayon est cassé, je dois le tailler.",2
cuisiner,J'aime cuisiner avec ma maman.,2
demander,Je vais demander de l'aide à la maîtresse.,2
départ,C'est le départ des autobus.,2
dessiner,J'aime dessiner des paysages.,2
devoir,J'ai un devoir à finir pour demain.,2
diamant,Elle a une bague en diamant.,2
dimanche,"Le dimanche, je reste à la maison.",2
drapeau,Le drapeau flotte au vent.,2
écrire,J'aime écrire des histoires.,2
enlever,Il faut enlever tes chaussures en entrant.,2
équipe,Notre équipe a gagné le match !,2
espace,Il y a un espace vide près de moi.,2
étang,Il y a un petit étang dans mon quartier.,2
étoile,Une étoile filante traverse le ciel.,2
évier,Dans ma douche il y a un évier.,2
flamme,La flamme de la bougie est douce.,2
fraises,J'aime les tartes aux fraises.,2
gagner,J'espère gagner le concours.,2
garde,Il assure la garde de l'immeuble.,2
gâteau,Le gâteau au chocolat est délicieux.,2
geste,Il a fait un beau geste pour aider.,2
grenier,Le grenier est plein de souvenirs.,2
habiller,Il faut habiller la poupée avec des vêtements.,2
hibou,Le hibou hulule la nuit.,2
lettre,J'ai écrit une lettre à mon ami.,2
lumière,"Allume la lumière, s'il te plaît.",2
malin,Ce renard est très malin.,2
merle,Le merle chante dans le jardin.,2
montagne,La montagne est couverte de neige.,2
montre,Peux-tu lire l'heure sur ta montre ?,2
nord,Le vent vient du nord aujourd'hui.,2
nouveau,J'ai un nouveau sac d'école.,2
perdre,J'ai peur de perdre mon jouet.,2
peser,Je vais peser cette boîte ?,2
pleurer,Le bébé commence à pleurer.,2
poisson,Le poisson nage dans l'eau.,2
poussin,Le poussin sort de l'œuf.,2
ranger,Il faut ranger tes jouets après avoir joué.,2
retenir,Je dois retenir cette leçon.,2
rêve,J'ai fait un beau rêve cette nuit.,2
revenir,Quand vas-tu revenir ?,2
rêver,J'aime rêver à des aventures incroyables.,2
simple,Ce problème est très simple à résoudre.,2
tenir,Je vais tenir la porte pour toi.,2
tigre,Le tigre est un animal sauvage.,2
tomate,Une tomate mûre est rouge.,2
toucher,Peux-tu toucher cette étoffe douce ?,2
voix,Elle a une jolie voix pour chanter.,2
yeux,J'ai les yeux marron.,2
zèbre,Le zèbre a des rayures noires et blanches.,2
accorder,Il faut accorder du temps à ses amis.,3
acteur,Cet acteur joue très bien son rôle.,3
agréable,J'ai passé une agréable journée avec mes amis.,3
aiguille,L'horloge a une petite aiguille qui indique les heures,3
aimable,Le chat est aimable avec les enfants.,3
alerte,Le chien est toujours alerte.,3
ambulance,Il y a une ambulance devant la maison du voisin,3
annonce,J'ai fait une annonce à la radio aujourd'hui.,3
apercevoir,Je peux apercevoir un cerf au loin.,3
aperçu,J'ai aperçu un oiseau dans le ciel.,3
apprendre,J'aime apprendre de nouvelles choses.,3
approcher,Le chien commence à approcher doucement.,3
arche,Elle a construit une arche fleurie pour son mariage.,3
arranger,Je dois arranger mes affaires dans mon sac.,3
arrière,Le jardin public est situé en arrière de notre maison.,3
arrivée,Il faut souhaiter bonne arrivée à votre grand-mère.,3
arrosage,Le tuyau fait un arrosage automatique chaque soir.,3
arroser,Il faut arroser les plantes tous les jours.,3
article,J'ai lu un article dans le journal.,3
asseoir,Elle me fait asseoir sur une belle chaise.,3
assurer,Il faut assurer la voiture en cas d'accident.,3
attacher,Je n'arrive pas à attacher ma ceinture.,3
balayer,Je vais balayer le sol après le repas.,3
bavarder,Nous aimons bavarder à la récréation.,3
bibliothèque,La bibliothèque est pleine de livres.,3
bizarre,Ce bruit est vraiment bizarre.,3
bonheur,Le bonheur est dans les petites choses.,3
boulangerie,J'ai acheté une baguette à la boulangerie.,3
broder,J'aime broder des motifs sur les tissus.,3
brouillard,Le brouillard empêche de bien voir la route.,3
capitale,Paris est la capitale de la france.,3
carnaval,Le carnaval est plein de couleurs.,3
chaussette,Je mets une chaussette sur chaque pied.,3
cheville,Fais attention à ta cheville sur cette pente.,3
clairon,Le clairon résonne dans la vallée.,3
clémentine,La clémentine est sucrée et juteuse.,3
colline,Nous montons la colline pour avoir une belle vue.,3
compagnon,Mon chien est mon fidèle compagnon.,3
comparer,Tu peux comparer ces deux dessins.,3
corriger,La maîtresse va corriger mon exercice.,3
couvrir,Je vais couvrir la table avec une nappe.,3
croire,Je ne peux pas croire ce que je vois !,3
croquer,J'aime croquer dans une pomme.,3
cueillir,Nous allons cueillir des fleurs au jardin.,3
danseur,Le danseur est très talentueux.,3
déchirer,Fais attention de ne pas déchirer la feuille.,3
découvrir,J'aime découvrir de nouveaux endroits.,3
décrocher,Je vais décrocher le téléphone.,3
descendre,Je vais descendre l'escalier.,3
désire,Je désire devenir astronaute.,3
différent,Mon sac est différent du tien.,3
dispute,Ils ont eu une petite dispute à propos du jeu.,3
effort,Fais un dernier effort pour finir ton travail.,3
élastique,Cet élastique est très solide.,3
embrasser,J'aime embrasser ma maman.,3
entendre,Je peux entendre le bruit du vent.,3
escalier,Fais attention en montant cet escalier.,3
essayer,Peux-tu essayer ce jeu ?,3
étudier,Je dois étudier pour le test.,3
exemple,Voici un exemple pour t'aider à comprendre.,3
fenouil,Le fenouil a un goût spécial.,3
fleurir,Les arbres commencent à fleurir au printemps.,3
flocon,J'ai dessiné un flocon de neige.,3
galet,J'ai trouvé un joli galet sur la plage.,3
grâce,Nous remercions dieu pour cette grâce.,3
imprimer,Je vais imprimer une photo.,3
maigre,Ce chat est très maigre.,3
maquillage,Elle met du maquillage avant la fête.,3
mordre,Attention de ne pas mordre trop fort !,3
muguet,Le muguet sent bon au printemps.,3
nettoyer,Il faut nettoyer la table après le repas.,3
préparer,Je vais te préparer un bon dessert.,3
rattraper,Je vais rattraper le ballon avant qu'il ne tombe.,3
remplir,Peux-tu remplir mon verre d'eau ?,3
saisir,Il faut saisir cette chance unique.,3
suivre,Peux-tu suivre les instructions ?,3

